Block	Agreement	SNP count
785	match	2
786	match	2
787	match	2
788	match	2
789	match	2
790	match	2
791	match	2
792	match	4
793	match	3
794	match	9
795	match	3
796	match	2
797	match	4
798	match	3
799	match	22
800	-	8
801	match	2
802	match	2
803	match	2
804	match	2
805	match	2
806	match	3
807	match	2
808	match	2
809	match	2
810	match	3
811	match	4
812	match	3
813	match	3
814	match	2
815	match	2
816	match	2
817	match	2
818	match	2
819	match	6
820	match	4
821	match	2
822	match	3
823	match	2
824	match	2
825	match	2
826	match	3
827	match	4
828	match	2
829	match	2
830	match	9
831	match	3
832	match	2
833	match	3
834	match	3
835	match	2
836	match	2
837	match	3
838	match	2
839	match	2
840	match	6
841	match	7
842	match	4
843	match	2
844	match	5
845	match	5
846	match	2
847	match	3
848	match	2
849	match	7
850	match	2
851	match	6
852	match	3
853	match	4
854	match	2
855	match	2
856	match	4
857	match	7
858	match	13
859	match	5
860	match	13
861	match	2
862	match	2
863	match	2
864	match	2
865	match	6
866	match	9
867	-	8
868	match	3
869	match	2
870	match	2
871	match	7
872	match	2
873	match	3
874	match	3
875	match	2
876	match	5
877	match	2
878	match	2
879	match	9
880	match	8
881	-	12
882	match	2
883	match	2
884	match	5
885	match	2
886	match	3
887	match	2
888	match	3
889	match	4
890	match	3
891	match	3
892	match	2
893	match	8
894	match	3
895	match	2
896	match	2
897	match	2
898	match	3
899	match	2
900	match	2
901	match	2
902	match	3
903	match	2
904	match	2
905	match	2
906	match	5
907	-	19
908	match	4
909	match	2
910	match	2
911	match	2
912	-	9
913	match	5
914	match	3
915	match	3
916	match	2
917	match	3
918	match	2
919	match	2
920	match	2
921	match	2
922	match	3
923	match	2
924	match	3
925	match	4
926	match	3
927	match	22
928	match	4
929	match	2
930	match	2
931	match	3
932	match	2
933	match	2
934	match	4
935	match	2
936	match	4
937	match	29
938	match	16
939	match	2
940	match	2
941	match	3
942	match	2
943	match	2
944	-	22
945	match	3
946	match	5
947	match	3
948	match	7
949	match	3
950	match	7
951	match	3
952	match	5
953	match	5
954	match	2
955	match	4
956	match	2
957	match	2
958	match	2
959	match	2
960	match	2
961	match	2
962	match	3
963	match	3
964	match	2
965	match	2
966	match	3
967	match	7
968	match	2
969	match	6
970	match	2
971	match	2
972	match	2
973	match	2
974	match	2
975	match	4
976	match	2
977	match	3
978	match	3
979	match	2
980	match	3
981	match	3
982	match	3
983	match	2
984	match	6
985	-	5
986	match	2
987	match	4
988	match	4
989	match	3
990	match	3
991	match	2
992	match	3
993	match	4
994	match	2
995	match	2
996	match	2
997	match	4
998	match	2
999	match	3
1000	match	4
1001	match	4
1002	match	4
1003	match	2
1004	match	3
1005	match	4
1006	match	3
1007	match	3
1008	match	2
1009	match	3
1010	match	3
1011	match	2
1012	match	2
1013	match	3
1014	match	2
1015	match	2
1016	match	2
1017	match	2
1018	match	2
1019	match	3
1020	match	3
1021	match	2
1022	match	2
1023	match	8
1024	match	2
1025	match	3
1026	match	2
1027	match	2
1028	match	2
1029	match	3
1030	match	3
1031	match	3
1032	match	4
1033	match	3
1034	match	2
1035	match	2
1036	match	3
1037	match	2
1038	match	4
1039	match	4
1040	match	5
1041	-	2
1042	match	2
1043	-	8
1044	match	3
1045	match	2
1046	match	2
1047	match	4
1048	match	9
1049	match	2
1050	match	3
1051	match	2
1052	match	5
1053	match	3
1054	match	4
1055	match	8
1056	match	3
